experiment,corruption,severity,intervention_type,fraction,alpha,norm_cap,layer_id,mask_seed,U,n_images,recovery_rate,new_error_rate,corruption_failure_set_size,still_correct_set_size,margin_change,model_fingerprint
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,10,-1.0499999999999954,2000,0.3208955223880597,0.06510219530658592,134,1321,-0.2225123839378357,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,11,-0.40000000000000036,2000,0.1044776119402985,0.021196063588190765,134,1321,0.06517169725894928,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,12,-0.20000000000000018,2000,0.1044776119402985,0.0174110522331567,134,1321,0.03753015661239624,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,13,0.15000000000000568,2000,0.1044776119402985,0.01514004542013626,134,1321,0.010587419867515564,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,14,0.20000000000000018,2000,0.12686567164179105,0.016654049962149888,134,1321,0.02824187207221985,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,15,-0.40000000000000036,2000,0.11194029850746269,0.01968205904617714,134,1321,0.041476808667182924,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,16,0.050000000000005596,2000,0.13432835820895522,0.02043906131718395,134,1321,0.010618638515472413,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,17,-0.24999999999999467,2000,0.11940298507462686,0.022710068130204392,134,1321,-0.0038689587116241455,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,18,-0.5499999999999949,2000,0.07462686567164178,0.018925056775170326,134,1321,0.014694472789764405,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.1,1.0,,0,19,0.20000000000000018,2000,0.1791044776119403,0.022710068130204392,134,1321,0.07585544657707215,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,0,0.8500000000000063,2000,0.22388059701492538,0.023467070401211203,134,1321,0.04717829239368439,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,1,0.2500000000000058,2000,0.19402985074626866,0.028766086298258896,134,1321,0.007685298442840576,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,2,-0.5499999999999949,2000,0.1791044776119403,0.03406510219530658,134,1321,0.06743344235420227,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,3,0.30000000000000027,2000,0.23134328358208955,0.02725208175624527,134,1321,0.0677244507074356,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,4,0.6500000000000061,2000,0.23134328358208955,0.025738077214231644,134,1321,0.059638311743736266,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,5,-0.04999999999999449,2000,0.3880597014925373,0.053747161241483724,134,1321,-0.00839583647251129,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,6,0.5000000000000004,2000,0.1865671641791045,0.018168054504163512,134,1321,0.06785969352722168,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,7,0.10000000000000009,2000,0.23880597014925373,0.033308099924299776,134,1321,-0.011959105610847473,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,8,-0.14999999999999458,2000,0.16417910447761194,0.02498107494322483,134,1321,0.04372753930091858,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,9,0.0,2000,0.373134328358209,0.05450416351249054,134,1321,-0.09646105754375457,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,10,-0.14999999999999458,2000,0.3656716417910448,0.056018168054504165,134,1321,-0.086747567653656,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
