selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
fixed_back,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,unseen,E1,0.2,1.0,,4.848333333333343,4.406208333333336,5.287083333333337,0.0,0.0,0.0,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,10,unseen,E1,0.2,1.0,,4.848333333333343,4.406208333333336,5.287083333333337,0.0,0.0,0.0,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,unseen,E1,0.2,1.0,,-2.7962499999999997,-3.2522708333333306,-2.387916666666669,7.644583333333343,7.178114583333337,8.083364583333342,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,unseen,E1,0.2,1.0,,4.679166666666679,4.259927083333333,5.103468750000007,0.1691666666666647,0.0708229166666602,0.26668750000000185,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,unseen,E1,0.2,1.0,,4.848333333333343,4.406208333333336,5.287083333333337,0.0,0.0,0.0,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,unseen,E1,0.2,1.0,,4.3316666666666706,3.9104166666666664,4.741906250000006,0.5166666666666728,0.419552083333332,0.617104166666679,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
