selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
small_search,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,observed,E1,0.2,1.0,,1.4037499999999976,0.91875,1.885625,7.248749999999993,6.763708333333318,7.769197916666674,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,observed,E1,0.2,1.0,,8.233749999999992,7.729156250000009,8.726291666666661,0.4187499999999993,0.27541666666667347,0.5508749999999977,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,observed,E1,0.2,1.0,,8.652499999999991,8.139156250000005,9.177947916666678,0.0,0.0,0.0,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,observed,E1,0.2,1.0,,7.492083333333335,7.033739583333352,7.977635416666668,1.1604166666666558,1.0299583333333207,1.2908645833333192,"[9, 10]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
